Estacion;Fecha inicial;Fecha final;PM2.5
ZIPAQUIRÁ - EFZ;3/01/2024 7:00;3/01/2024 7:59;36,4
ZIPAQUIRÁ - EFZ;3/01/2024 6:00;3/01/2024 6:59;19,68
ZIPAQUIRÁ - EFZ;3/01/2024 5:00;3/01/2024 5:59;11,11
ZIPAQUIRÁ - EFZ;3/01/2024 4:00;3/01/2024 4:59;13,89
ZIPAQUIRÁ - EFZ;3/01/2024 3:00;3/01/2024 3:59;11,32
ZIPAQUIRÁ - EFZ;3/01/2024 2:00;3/01/2024 2:59;19,79
ZIPAQUIRÁ - EFZ;3/01/2024 1:00;3/01/2024 1:59;14,11
ZIPAQUIRÁ - EFZ;3/01/2024 0:00;3/01/2024 0:59;17,04
ZIPAQUIRÁ - EFZ;2/01/2024 23:00;2/01/2024 23:59;17,96
ZIPAQUIRÁ - EFZ;2/01/2024 22:00;2/01/2024 22:59;16,72
ZIPAQUIRÁ - EFZ;2/01/2024 21:00;2/01/2024 21:59;9,14
ZIPAQUIRÁ - EFZ;2/01/2024 20:00;2/01/2024 20:59;12,79
ZIPAQUIRÁ - EFZ;2/01/2024 19:00;2/01/2024 19:59;6,93
ZIPAQUIRÁ - EFZ;2/01/2024 18:00;2/01/2024 18:59;4,89
ZIPAQUIRÁ - EFZ;2/01/2024 17:00;2/01/2024 17:59;2,04
ZIPAQUIRÁ - EFZ;2/01/2024 16:00;2/01/2024 16:59;3
ZIPAQUIRÁ - EFZ;2/01/2024 15:00;2/01/2024 15:59;3,21
ZIPAQUIRÁ - EFZ;2/01/2024 14:00;2/01/2024 14:59;9,14
ZIPAQUIRÁ - EFZ;2/01/2024 13:00;2/01/2024 13:59;13,11
ZIPAQUIRÁ - EFZ;2/01/2024 12:00;2/01/2024 12:59;19,04
ZIPAQUIRÁ - EFZ;2/01/2024 11:00;2/01/2024 11:59;20,21
ZIPAQUIRÁ - EFZ;2/01/2024 10:00;2/01/2024 10:59;25,68
ZIPAQUIRÁ - EFZ;2/01/2024 9:00;2/01/2024 9:59;17,28
ZIPAQUIRÁ - EFZ;2/01/2024 8:00;2/01/2024 8:59;24,96
ZIPAQUIRÁ - EFZ;2/01/2024 7:00;2/01/2024 7:59;23,79
ZIPAQUIRÁ - EFZ;2/01/2024 6:00;2/01/2024 6:59;17,72
ZIPAQUIRÁ - EFZ;2/01/2024 5:00;2/01/2024 5:59;11,32
ZIPAQUIRÁ - EFZ;2/01/2024 4:00;2/01/2024 4:59;18,4
ZIPAQUIRÁ - EFZ;2/01/2024 3:00;2/01/2024 3:59;4,44
ZIPAQUIRÁ - EFZ;2/01/2024 2:00;2/01/2024 2:59;14,88
ZIPAQUIRÁ - EFZ;2/01/2024 1:00;2/01/2024 1:59;12,07
ZIPAQUIRÁ - EFZ;2/01/2024 0:00;2/01/2024 0:59;14,04
ZIPAQUIRÁ - EFZ;1/01/2024 23:00;1/01/2024 23:59;14,88
ZIPAQUIRÁ - EFZ;1/01/2024 22:00;1/01/2024 22:59;12,36
ZIPAQUIRÁ - EFZ;1/01/2024 21:00;1/01/2024 21:59;20,88
ZIPAQUIRÁ - EFZ;1/01/2024 20:00;1/01/2024 20:59;17,72
ZIPAQUIRÁ - EFZ;1/01/2024 19:00;1/01/2024 19:59;10,68
ZIPAQUIRÁ - EFZ;1/01/2024 18:00;1/01/2024 18:59;3,12
ZIPAQUIRÁ - EFZ;1/01/2024 17:00;1/01/2024 17:59;6,08
ZIPAQUIRÁ - EFZ;1/01/2024 16:00;1/01/2024 16:59;7,84
ZIPAQUIRÁ - EFZ;1/01/2024 15:00;1/01/2024 15:59;4
